age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
59.0,Private For-Profit,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Non-Retail Sales Workers,California,Husband/wife,40.0,Female,White,True
53.0,Private For-Profit,Professional degree beyond a bachelor's degree,NEVER MARRIED,First-Line Supervisors Of Retail Sales Workers,California,Unmarried partner,25.0,Male,White,False
22.0,Private For-Profit,Regular high school diploma,Never married,"Shipping, Receiving, And Inventory Clerks",pennsylvania,Biological son or daughter,20.0,Female,White,False
56.0,Private For-Profit,"One or more years of college credit, no degree",Married,Tool And Die Makers,Texas,Husband/wife,40.0,M,White,True
55.0,Self-Employed (Not Inc.),Regular high school diploma,Married,First-Line Supervisors Of Retail Sales Workers,India,Reference person,90.0,Male,Asian,True
42.0,Private For-Profit,Regular high school diploma,Never married,Financial Managers,Texas,Biological son or daughter,40.0,Male,White,False
43.0,Private For-Profit,Bachelor's degree,Married,"Social Workers, All Other",Texas,Husband/wife,40.0,Male,White,False
48.0,Private For-Profit,Bachelor's degree,Married,Writers And Authors,Colorado,Reference person,55.0,Male,wht,True
59.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,Cooks,Georgia,Husband/wife,28.0,Female,Black,False
17.0,Private For-Profit,Grade 11,Never married,Customer Service Representatives,Iowa,biological son or daughter,12.0,male,White,False
54.0,Private For-Profit,"Some college, but less than 1 year",Married,"Office Clerks, General",Illinois,Husband/wife,25.0,Female,White,False
61.0,Self-Employed (Not Inc.),Professional degree beyond a bachelor's degree,Married,Physicians,louisiana,Reference person,35.0,Female,White,True
41.0,Private For-Profit,Associate's degree,Married,Personal Care Aides,Kentucky,Reference person,33.0,Female,White,False
64.0,Private For-Profit,Regular high school diploma,Widowed,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Minnesota,Reference person,40.0,Male,White,False
-5.0,Private For-Profit,Grade 10,Never married,"Graders And Sorters, Agricultural Products",Pennsylvania,Biological son or daughter,38.0,Female,Other Race,False
63.0,Private For-Profit,Regular high school diploma,Married,"Sales Representatives, Wholesale And Manufacturing",pennsylvania,Reference person,40.0,Male,White,True
31.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,"Computer Occupations, All Other",West Virginia,Reference person,40.0,Male,White,False
75.0,Private Non-Profit,Regular high school diploma,Never married,Training And Development Specialists,North Carolina,Reference person,40.0,M,Two or More Race,True
,Local Government,Associate's degree,Divorced,Registered Nurses,WISCONSIN,Reference person,45.0,Female,White,True
58.0,State Government,"One or more years of college credit, no degree",Divorced,Compliance Officers,minnesota,reference person,43.0,fem,White,True
21.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Retail Salespersons,Florida,noninstitutionalized group quarters population,,Female,White,False
24.0,Private For-Profit,Bachelor's degree,Married,Software Developers,ohio,reference person,40.0,Male,White,True
54.0,Private For-Profit,Regular high school diploma,Widowed,Accountants And Auditors,Virginia/VA,Reference person,40.0,Female,White,False
20.0,Private For-Profit,bachelor's degree,Never married,,Peru,Reference person,38.0,Male,Other Race,False
50.0,Self-Employed (Not Inc.),"One or more years of college credit, no degree",Married,"Hairdressers, Hairstylists, And Cosmetologists",New York,Institutionalized group quarters population,15.0,Female,White,False
32.0,,Grade 11,Never married,Driver/Sales Workers And Truck Drivers,California,Biological son or daughter,,male,White,False
64.0,Self-Employed (Inc.),Professional degree beyond a bachelor's degree,Married,Physicians,Colorado,Husband/wife,68.0,Male,Black,True
42.0,Private For-Profit,Associate's degree,Married,"Baggage Porters, Bellhops, And Concierges",Massachusetts,Reference person,40.0,Female,Other Race,False
40.0,Private Non-Profit,bachelor's degree,Married,Clergy,CALIFORNIA,Reference person,50.0,Male,White,False
29.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,Sales Managers,Washington,Reference person,,Female,White,False
23.0,Private For-Profit,Regular high school diploma,Never married,Cashiers,New Hampshire,Biological son or daughter,40.0,Female,White,False
28.0,Private For-Profit,grade 9,Never married,Carpenters,New Jersey,Biological son or daughter,40.0,Male,Other Race,False
55.0,,Master's degree,Divorced,Elementary And Middle School Teachers,Connecticut,Reference person,40.0,fem,White,True
60.0,,Grade 8,Married,Retail Salespersons,nebraska,Reference person,24.0,Female,Other Race,False
61.0,Private For-Profit,"one or more years of college credit, no degree",Married,"Sales Representatives, Wholesale And Manufacturing",Texas,Husband/wife,40.0,Male,White,True
58.0,Private For-Profit,Regular high school diploma,Married,Driver/Sales Workers And Truck Drivers,oregon,Husband/wife,50.0,Male,White,True
47.0,Private For-Profit,"One or more years of college credit, no degree",Married,Unknown,Serbia,husband/wife,30.0,Male,White,False
40.0,Private For-Profit,Master's degree,Married,Unknown,pennsylvania,Husband/wife,200.0,Female,White,True
50.0,Private Non-Profit,Regular high school diploma,divorced,Information And Records Clerks,Russia,Reference person,,Female,White,False
-5.0,,Regular high school diploma,Never married,First-Line Supervisors Of Production And Operating Workers,Illinois,Reference person,,Male,Black,False
46.0,Private For-Profit,Regular high school diploma,Never married,First-Line Supervisors Of Non-Retail Sales Workers,Massachusetts,brother or sister,40.0,Female,Black,True
64.0,State Government,regular high school diploma,Married,School Bus Monitors,Kentucky,Reference person,25.0,male,White,False
40.0,Self-Employed (Not Inc.),Bachelor's degree,Never married,Accountants And Auditors,Florida,Reference person,40.0,M,White,True
49.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Dispatchers, Except Police, Fire, And Ambulance",new jersey,reference person,20.0,Female,White,False
21.0,Private For-Profit,Regular high school diploma,Never married,Drafters,Indiana,housemate or roommate,,m,White,False
61.0,Self-Employed (Not Inc.),"Some college, but less than 1 year",Married,First-Line Supervisors Of Retail Sales Workers,California,Reference person,30.0,Female,White,False
56.0,Self-Employed (Inc.),Master's degree,Married,"Office Clerks, General",California,Reference person,20.0,Female,White,False
66.0,Self-Employed (Not Inc.),Regular high school diploma,Divorced,Painters and Paperhangers,Pennsylvania,Reference person,20.0,Male,White,False
31.0,Private For-Profit,Regular high school diploma,Never married,Fast Food And Counter Workers,Puerto Rico,Biological son or daughter,40.0,Male,White,False
38.0,Private For-Profit,"Some college, but less than 1 year",Married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Korea,Reference person,40.0,Female,Two or More Race,False
43.0,Private For-Profit,Bachelor's degree,Divorced,Marketing Managers,Puerto Rico,Reference person,40.0,Female,White,True
60.0,Private For-Profit,master's degree,Divorced,"Bookkeeping, Accounting, And Auditing Clerks",TAIWAN,Reference person,40.0,Female,Asian,True
26.0,Private For-Profit,bachelor's degree,Married,Cashiers,China,Husband/wife,40.0,Female,Asian,False
20.0,Private Non-Profit,"One or more years of college credit, no degree",Never married,Editors,japan,Noninstitutionalized group quarters population,8.0,Female,White,False
47.0,Local Government,Bachelor's degree,Divorced,First-Line Supervisors Of Police And Detectives,Minnesota,Reference person,40.0,M,White,True
18.0,Private For-Profit,Grade 8,Never married,"Drywall Installers, Ceiling Tile Installers, And Tapers",Missouri,Grandchild,200.0,Male,White,False
53.0,Private Non-Profit,Doctorate degree,Married,Postsecondary Teachers,"United Kingdom, Not Specified",Reference person,,Male,White,False
29.0,Private For-Profit,"One or more years of college credit, no degree",Separated,"Property, Real Estate, And Community Association Managers",ILLINOIS,Reference person,40.0,Female,White,False
21.0,,GED or alternative credential,Never married,,Virginia/VA,Other nonrelative,,Male,White,False
30.0,Local Government,BACHELOR'S DEGREE,Married,Police Officers,PUERTO RICO,Reference person,40.0,Male,White,True
30.0,Private For-Profit,ASSOCIATE'S DEGREE,Never married,,NEW JERSEY,Reference person,40.0,Female,White,False
55.0,Private For-Profit,Grade 6,Married,Landscaping And Groundskeeping Workers,MEXICO,Husband/wife,55.0,Male,White,False
51.0,Private For-Profit,Regular high school diploma,Married,Industrial Truck And Tractor Operators,Washington,Reference person,40.0,m,White,False
50.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",PENNSYLVANIA,Reference person,20.0,Female,White,False
49.0,Private For-Profit,Grade 8,Married,Agricultural Workers,Mississippi,Husband/wife,60.0,Male,White,False
56.0,Private Non-Profit,regular high school diploma,Never married,"Carpet, Floor, And Tile Installers And Finishers",CONNECTICUT,Reference person,,M,White,True
25.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,Retail Salespersons,Arizona,Biological son or daughter,38.0,Female,White,False
33.0,Private For-Profit,Associate's degree,Married,Clinical Laboratory Technologists And Technicians,Illinois,Husband/wife,50.0,Male,White,False
58.0,Local Government,"Some college, but less than 1 year",married,Construction Laborers,Texas,Husband/wife,40.0,Male,White,True
32.0,Private Non-Profit,Bachelor's degree,Married,Clinical Laboratory Technologists And Technicians,Georgia,Reference person,40.0,Female,White,True
33.0,Self-Employed (Not Inc.),"one or more years of college credit, no degree",Divorced,"Hairdressers, Hairstylists, And Cosmetologists",District of Columbia,Reference person,50.0,Female,White,True
21.0,Private For-Profit,"12th grade, no diploma",Never married,Cooks,Wisconsin,Housemate or roommate,48.0,Male,White,False
36.0,Private For-Profit,Regular high school diploma,Married,,Mexico,Husband/wife,40.0,Female,Other Race,False
19.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,Cashiers,Illinois,noninstitutionalized group quarters population,15.0,Female,White,False
42.0,Self-Employed (Not Inc.),Associate's degree,Divorced,"Sales Representatives, Wholesale And Manufacturing",florida,Biological son or daughter,50.0,M,White,False
,Private For-Profit,"Some college, but less than 1 year",Married,"Engineering Technologists And Technicians, Except Drafters",California,Husband/wife,40.0,Male,White,False
57.0,Private For-Profit,Grade 9,Divorced,,Mexico,Reference person,50.0,Male,White,False
23.0,,Associate's degree,Married,Unknown,Ohio,Husband/wife,40.0,Male,White,False
30.0,Federal Government,Regular high school diploma,Married,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Germany,Husband/wife,40.0,Male,Black,True
18.0,Private For-Profit,Regular high school diploma,Never married,Security Guards And Gaming Surveillance Officers,Maryland,Biological son or daughter,6.0,Male,White,False
22.0,State Government,"One or more years of college credit, no degree",Never married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Nevada,Housemate or roommate,6.0,Female,White,False
34.0,Private For-Profit,Regular high school diploma,Married,Retail Salespersons,China,reference person,40.0,m,Asian,False
55.0,Private For-Profit,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Retail Sales Workers,Kentucky,Reference person,,M,White,False
17.0,Private For-Profit,Grade 11,Never married,Fast Food And Counter Workers,Wisconsin,Biological son or daughter,22.0,male,White,False
53.0,Private For-Profit,Bachelor's degree,Married,First-Line Supervisors Of Non-Retail Sales Workers,new jersey,Husband/wife,50.0,Male,White,True
50.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Retail Salespersons,California,Reference person,40.0,Male,White,False
31.0,State Government,Bachelor's degree,Never married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",KANSAS,Reference person,40.0,Female,White,False
22.0,Private For-Profit,"one or more years of college credit, no degree",Never married,Cooks,Illinois,Biological son or daughter,35.0,Male,Two or More Race,False
25.0,Private For-Profit,Bachelor's degree,Never married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Alaska,Reference person,44.0,Male,White,True
72.0,Self-Employed (Inc.),"One or more years of college credit, no degree",Widowed,Home Health Aides,Illinois,Reference person,8.0,Female,White,False
21.0,Private For-Profit,Regular high school diploma,Never married,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Utah,Biological son or daughter,,Female,White,False
65.0,Private For-Profit,"Some college, but less than 1 year",Married,Industrial Truck And Tractor Operators,Ohio,Reference person,200.0,Male,White,False
,Private For-Profit,Regular high school diploma,Never married,Food Preparation Workers,Florida,Housemate or roommate,40.0,Female,Black,False
31.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Never married,Physicians,Pennsylvania,Unmarried partner,65.0,Female,White,True
69.0,Self-Employed (Not Inc.),MASTER'S DEGREE,Married,"Farmers, Ranchers, And Agricultural Managers",Kentucky,Reference person,25.0,Male,White,True
18.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Driver/Sales Workers And Truck Drivers,TEXAS,Housemate or roommate,20.0,m,Black,True
49.0,Private For-Profit,"Some college, but less than 1 year",Married,Driver/Sales Workers And Truck Drivers,Puerto Rico,Husband/wife,47.0,Male,Other Race,True
24.0,Private For-Profit,Bachelor's degree,Never married,Tutors,Iowa,Noninstitutionalized group quarters population,10.0,Male,White,False
31.0,Federal Government,BACHELOR'S DEGREE,Married,Operations Research Analysts,California,Reference person,40.0,Female,White,True
26.0,Private For-Profit,No schooling completed,Widowed,"Laborers And Freight, Stock, And Material Movers, Hand",Mississippi,Reference person,40.0,Male,Black,True
48.0,Self-Employed (Inc.),GED or alternative credential,Married,Driver/Sales Workers And Truck Drivers,Ohio,Husband/wife,70.0,Male,White,True
33.0,,"One or more years of college credit, no degree",Never married,"Counselors, All Other",California,Unmarried partner,40.0,Female,Other Race,False
18.0,Private For-Profit,Grade 9,Never married,Dishwashers,Florida,Institutionalized group quarters population,33.0,Male,White,False
38.0,Private Non-Profit,Regular high school diploma,Married,Receptionists And Information Clerks,California,Husband/wife,40.0,Female,wht,False
47.0,Private For-Profit,bachelor's degree,Married,First-Line Supervisors Of Non-Retail Sales Workers,arizona,Husband/wife,40.0,Male,White,False
24.0,Private For-Profit,Associate's degree,Never married,Residential Advisors,Illinois,Noninstitutionalized group quarters population,15.0,Female,wht,False
18.0,Private For-Profit,Regular high school diploma,Never married,Cashiers,Nebraska,Other nonrelative,12.0,M,White,False
49.0,Private Non-Profit,"One or more years of college credit, no degree",Married,"Computer Occupations, All Other",South Carolina,Husband/wife,32.0,Female,White,False
33.0,Private Non-Profit,MASTER'S DEGREE,Never married,Special Education Teachers,new york,biological son or daughter,40.0,Female,White,True
62.0,Federal Government,"One or more years of college credit, no degree",Separated,Teaching Assistants,Mexico,Father or mother,40.0,Female,White,False
39.0,Private For-Profit,Bachelor's degree,Married,First-Line Supervisors Of Construction Trades And Extraction Workers,Kansas,husband/wife,45.0,Female,White,True
17.0,Local Government,GRADE 10,Never married,"Office Clerks, General",New York,Biological son or daughter,10.0,Male,Black,False
33.0,Local Government,Bachelor's degree,Divorced,Financial Managers,Massachusetts,Reference person,50.0,Female,White,True
20.0,Private For-Profit,"One or more years of college credit, no degree",never married,Cashiers,Illinois,stepson or stepdaughter,28.0,Female,Black,False
55.0,,GED OR ALTERNATIVE CREDENTIAL,Divorced,Painters and Paperhangers,Missouri,Reference person,10.0,Female,wht,False
70.0,Private For-Profit,"Some college, but less than 1 year",Widowed,Construction Managers,Virginia/VA,Reference person,25.0,Male,White,False
76.0,Private For-Profit,"Some college, but less than 1 year",Married,Project Management Specialists,MICHIGAN,Reference person,16.0,Female,White,True
64.0,Self-Employed (Not Inc.),No schooling completed,Divorced,Maids And Housekeeping Cleaners,NEW YORK,Roomer or boarder,30.0,Female,White,False
57.0,Private For-Profit,Regular high school diploma,Widowed,Assemblers And Fabricators,California,Reference person,40.0,Female,White,False
46.0,Local Government,Master's degree,Married,Elementary And Middle School Teachers,Turkey,Reference person,45.0,male,White,True
50.0,Private Non-Profit,Master's degree,Never married,Education And Childcare Administrators,New York,Reference person,45.0,Female,White,True
22.0,,"One or more years of college credit, no degree",Never married,"Office Clerks, General",Pennsylvania,Biological son or daughter,15.0,F,White,False
27.0,Private For-Profit,Regular high school diploma,Never married,Transportation Service Attendants,New York,Reference person,54.0,Male,Black,False
39.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Assemblers And Fabricators,Laos,Reference person,40.0,Male,Asian,False
23.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Unknown,Indiana,Noninstitutionalized group quarters population,10.0,Female,White,False
34.0,Private For-Profit,Associate's degree,Never married,Janitors And Building Cleaners,Puerto Rico,Reference person,20.0,Male,White,False
56.0,Self-Employed (Inc.),"12th grade, no diploma",Married,Managers,California,Husband/wife,70.0,Male,White,True
27.0,Private For-Profit,Regular high school diploma,Never married,Childcare Workers,Florida,Brother or sister,-10.0,Female,White,False
67.0,Private For-Profit,Bachelor's degree,Divorced,First-Line Supervisors Of Retail Sales Workers,Indiana,Reference person,42.0,Male,Black,False
35.0,Private Non-Profit,Doctorate degree,Married,Pharmacists,Arizona,Husband/wife,40.0,Male,White,True
,Private For-Profit,Grade 11,Never married,Animal Caretakers,Illinois,biological son or daughter,15.0,Female,White,False
,Local Government,master's degree,Married,Secondary School Teachers,Michigan,Husband/wife,40.0,Female,White,True
,Private Non-Profit,associate's degree,Married,Education And Childcare Administrators,Missouri,Reference person,60.0,Female,White,False
57.0,Private For-Profit,"One or more years of college credit, no degree",Married,Unknown,Rhode Island,Reference person,,Female,White,True
30.0,Private For-Profit,Bachelor's degree,Never married,Retail Salespersons,India,Reference person,25.0,Male,Asian,False
34.0,Local Government,Bachelor's degree,Married,Interpreters and Translators,mexico,Reference person,40.0,Female,Two or More Race,True
53.0,Private For-Profit,Regular high school diploma,Separated,"Shipping, Receiving, And Inventory Clerks",ALABAMA,Reference person,50.0,Female,Black,True
34.0,Private For-Profit,GED or alternative credential,NEVER MARRIED,Recreation Workers,New York,Reference person,,Female,Other Race,False
39.0,Self-Employed (Inc.),Regular high school diploma,Married,Construction Managers,Kosovo,Reference person,40.0,Male,White,False
76.0,Private For-Profit,regular high school diploma,MARRIED,Driver/Sales Workers And Truck Drivers,Iowa,Reference person,35.0,Female,White,False
34.0,Private For-Profit,"One or more years of college credit, no degree",Married,Property Appraisers and Assessors,New Hampshire,Husband/wife,40.0,Male,White,True
77.0,Private For-Profit,GED or alternative credential,Never married,Retail Salespersons,Haiti,Other nonrelative,40.0,Male,Black,False
42.0,Private For-Profit,Regular high school diploma,Married,"Plumbers, Pipefitters, And Steamfitters",Illinois,Husband/wife,36.0,Male,White,False
47.0,Private For-Profit,Regular high school diploma,Never married,"Title Examiners, Abstractors, and Searchers",New Jersey,Reference person,40.0,Female,Black,True
30.0,Private For-Profit,Associate's degree,Married,"Sales Representatives, Wholesale And Manufacturing",alabama,Reference person,40.0,Male,White,False
40.0,Local Government,Grade 9,Married,Cooks,California,institutionalized group quarters population,40.0,Male,White,False
25.0,Private For-Profit,"Nursery school, preschool",Separated,"Production, Planning, And Expediting Clerks",Missouri,Housemate or roommate,40.0,Male,White,False
60.0,Private For-Profit,"Some college, but less than 1 year",Married,Electricians,Wisconsin,Husband/wife,40.0,Male,White,True
58.0,Private For-Profit,Grade 11,Married,Packaging And Filling Machine Operators And Tenders,Illinois,Reference person,40.0,Female,White,False
55.0,Private For-Profit,"One or more years of college credit, no degree",Married,Preschool And Kindergarten Teachers,Mexico,Reference person,28.0,Female,White,False
41.0,Private Non-Profit,Doctorate degree,Married,Mathematical Science Occupations,Illinois,husband/wife,40.0,m,Asian,True
60.0,Private For-Profit,Regular high school diploma,DIVORCED,Managers,South Carolina,reference person,40.0,Female,White,False
59.0,Private For-Profit,Associate's degree,Divorced,Driver/Sales Workers And Truck Drivers,missouri,Reference person,20.0,Male,White,False
46.0,Local Government,"One or more years of college credit, no degree",Married,Correctional Officers and Jailers,Pennsylvania,Reference person,40.0,Male,White,True
32.0,Private For-Profit,Master's degree,Never married,Educational Instruction and Library Workers,New York,Other relative,50.0,Female,White,False
56.0,Private For-Profit,Master's degree,Married,Software Developers,Taiwan,Reference person,40.0,male,Asian,False
31.0,Private For-Profit,"some college, but less than 1 year",Married,"Industrial Engineers, Including Health And Safety",China,Reference person,40.0,Male,Asian,True
50.0,Private Non-Profit,"One or more years of college credit, no degree",Divorced,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",California,Reference person,40.0,Female,White,False
43.0,Private For-Profit,regular high school diploma,Married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Massachusetts,Reference person,50.0,Male,White,True
41.0,Private For-Profit,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Retail Sales Workers,Colorado,Grandchild,40.0,Male,Black,False
65.0,Private For-Profit,"Some college, but less than 1 year",DIVORCED,Underground Mining Machine Operators,Oklahoma,Reference person,40.0,F,White,True
50.0,Private For-Profit,Bachelor's degree,Married,Managers,Connecticut,Reference person,50.0,M,White,True
43.0,Private For-Profit,Grade 9,MARRIED,Construction Laborers,MEXICO,Reference person,45.0,Male,White,False
41.0,Private For-Profit,Associate's degree,Separated,"Engineering Technologists And Technicians, Except Drafters",Wisconsin,Reference person,50.0,Male,White,True
51.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Married,Bartenders,California,Reference person,30.0,Female,White,False
65.0,Self-Employed (Not Inc.),"one or more years of college credit, no degree",Married,"Agents And Business Managers Of Artists, Performers, And Athletes",California,Reference person,3.0,Female,White,False
44.0,Federal Government,Master's degree,DIVORCED,,Virginia/VA,Reference person,40.0,Female,White,True
59.0,Private For-Profit,Regular high school diploma,married,First-Line Supervisors Of Construction Trades And Extraction Workers,New York,Husband/wife,50.0,Male,White,True
,Private For-Profit,Associate's degree,Married,Customer Service Representatives,Wyoming,reference person,200.0,male,White,False
20.0,Private For-Profit,"Some college, but less than 1 year",Never married,Waiters And Waitresses,Texas,Grandchild,20.0,Male,Two or More Race,False
40.0,Private For-Profit,Bachelor's degree,Never married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Michigan,Reference person,40.0,Female,White,True
37.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Computer, Automated Teller, And Office Machine Repairers",Illinois,Husband/wife,40.0,Male,White,False
65.0,Self-Employed (Not Inc.),Associate's degree,MARRIED,Interior Designers,California,Reference person,35.0,Female,White,False
-5.0,Private Non-Profit,"one or more years of college credit, no degree",Never married,Childcare Workers,Indiana,Noninstitutionalized group quarters population,17.0,Female,Two or More Race,False
29.0,Local Government,GED or alternative credential,Never married,Driver/Sales Workers And Truck Drivers,Kansas,Reference person,-10.0,Female,White,True
71.0,Self-Employed (Not Inc.),Bachelor's degree,Divorced,Real Estate Brokers And Sales Agents,Texas,Reference person,5.0,Female,White,True
30.0,Private For-Profit,Bachelor's degree,Never married,Bartenders,Texas,Biological son or daughter,35.0,Male,Asian,False
25.0,Private For-Profit,"Some college, but less than 1 year",Never married,Computer Support Specialists,Arizona,Biological son or daughter,40.0,Male,White,False
55.0,Self-Employed (Not Inc.),"Some college, but less than 1 year",Married,Unknown,Nebraska,Husband/wife,3.0,Female,White,False
34.0,Private For-Profit,"One or more years of college credit, no degree",Married,,michigan,Husband/wife,40.0,male,White,False
25.0,Private For-Profit,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Retail Sales Workers,Oklahoma,Reference person,23.0,Female,White,False
34.0,Private For-Profit,Associate's degree,Married,"First-Line Supervisors Of Mechanics, Installers, And Repairers",Utah,Reference person,,Male,White,True
60.0,Private Non-Profit,REGULAR HIGH SCHOOL DIPLOMA,Divorced,"Bookkeeping, Accounting, And Auditing Clerks",Ohio,Reference person,32.0,Female,White,False
57.0,Federal Government,Professional degree beyond a bachelor's degree,Married,Physicians,Ukraine,Husband/wife,200.0,Female,White,True
29.0,Private For-Profit,Master's degree,Never married,Managers,North Carolina,Reference person,50.0,Female,White,True
27.0,Private For-Profit,Regular high school diploma,NEVER MARRIED,Customer Service Representatives,Alabama,Institutionalized group quarters population,40.0,Female,Black,False
49.0,Self-Employed (Not Inc.),Bachelor's degree,Married,Food Service Managers,iran,Husband/wife,35.0,Male,White,False
,Private For-Profit,Bachelor's degree,NEVER MARRIED,Computer Programmers,North Carolina,reference person,40.0,Female,White,True
43.0,Local Government,MASTER'S DEGREE,Married,Elementary And Middle School Teachers,New York,reference person,60.0,Male,White,False
68.0,,"One or more years of college credit, no degree",Married,Upholsterers,Wisconsin,Husband/wife,,M,White,True
55.0,Local Government,Bachelor's degree,Divorced,Managers,Louisiana,Reference person,40.0,m,White,False
38.0,Private For-Profit,Associate's degree,Married,,Ohio,Reference person,45.0,Female,White,False
50.0,Private For-Profit,Bachelor's degree,Never married,First-Line Supervisors Of Office And Administrative Support Workers,New York,reference person,40.0,F,White,True
34.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,Cooks,Utah,Reference person,42.0,Male,White,True
71.0,Self-Employed (Inc.),Master's degree,Widowed,,North Carolina,Reference person,50.0,male,White,True
29.0,Private For-Profit,Bachelor's degree,Never married,Interior Designers,Connecticut,Housemate or roommate,40.0,Female,White,False
40.0,Private For-Profit,Associate's degree,Separated,First-Line Supervisors Of Office And Administrative Support Workers,Puerto Rico,Reference person,40.0,F,blk,False
33.0,Private For-Profit,GED or alternative credential,Divorced,"Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",Michigan,Reference person,50.0,male,White,False
34.0,Private Non-Profit,Associate's degree,Never married,,Pennsylvania,Reference person,,Male,White,True
47.0,State Government,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,Unknown,Tennessee,Husband/wife,37.0,Female,Black,False
37.0,Private For-Profit,GRADE 9,Separated,"Inspectors, Testers, Sorters, Samplers, And Weighers",California,Reference person,50.0,Male,White,False
39.0,Private For-Profit,master's degree,Married,Software Developers,Massachusetts,Husband/wife,40.0,Female,White,True
19.0,Private For-Profit,Grade 9,Never married,Automotive Service Technicians And Mechanics,Missouri,grandchild,40.0,Male,White,False
41.0,,Associate's degree,Married,Aircraft Mechanics And Service Technicians,georgia,Husband/wife,40.0,Male,Two or More Race,False
34.0,State Government,Master's degree,Never married,Elementary And Middle School Teachers,Connecticut,Reference person,40.0,Male,White,True
74.0,Federal Government,Bachelor's degree,DIVORCED,Management Analysts,India,Reference person,4.0,m,Asian,False
46.0,Private For-Profit,"One or more years of college credit, no degree",Married,,California,Reference person,40.0,Female,White,False
49.0,Self-Employed (Not Inc.),"Some college, but less than 1 year",Never married,Music Directors and Composers,Jamaica,Unmarried partner,50.0,Male,Black,False
,Private For-Profit,Bachelor's degree,Married,Customer Service Representatives,North Carolina,Reference person,40.0,Female,White,False
53.0,Private For-Profit,"One or more years of college credit, no degree",Separated,Childcare Workers,georgia,Noninstitutionalized group quarters population,40.0,Male,Black,True
75.0,Self-Employed (Not Inc.),Bachelor's degree,Married,,Illinois,Reference person,,m,White,True
53.0,Private For-Profit,Bachelor's degree,Married,Executive Secretaries And Executive Administrative Assistants,Belgium,Reference person,50.0,Female,White,True
56.0,Private Non-Profit,Master's degree,Divorced,,England,Reference person,,Female,White,True
54.0,Local Government,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",California,Biological son or daughter,40.0,F,White,False
59.0,Private For-Profit,"One or more years of college credit, no degree",Married,Managers,Florida,Husband/wife,60.0,Female,White,True
52.0,Federal Government,Professional degree beyond a bachelor's degree,Married,,New Jersey,Husband/wife,40.0,Female,White,True
42.0,Private For-Profit,"One or more years of college credit, no degree",Married,First-Line Supervisors Of Retail Sales Workers,Texas,Reference person,50.0,Male,White,True
48.0,Federal Government,"One or more years of college credit, no degree",Never married,Radio And Telecommunications Equipment Installers And Repairers,Florida,biological son or daughter,,Male,White,False
49.0,Private For-Profit,"One or more years of college credit, no degree",Married,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",Alabama,Reference person,,male,White,True
32.0,Private Non-Profit,BACHELOR'S DEGREE,Married,Postsecondary Teachers,Michigan,Reference person,45.0,Female,White,True
999.0,Private For-Profit,Regular high school diploma,Married,Pharmacy Technicians,New York,Husband/wife,15.0,Female,White,False
18.0,Private For-Profit,Regular high school diploma,Never married,Cashiers,Illinois,Biological son or daughter,38.0,Female,White,False
57.0,Private For-Profit,Regular high school diploma,Married,Social And Community Service Managers,california,Reference person,40.0,Male,Black,True
